,City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,City ID,DateTime,Country
0,sao gotardo,-19,-46,66.52,48.0,0.0,9.82,3446406,1627132728,BR
1,midland,32,-102,74.97,64.0,1.0,5.99,5526337,1627132728,US
2,medvezhyegorsk,63,34,60.37,46.0,100.0,8.1,527888,1627132728,RU
5,vastervik,58,17,67.35,65.0,10.0,12.75,2713974,1627132729,SE
6,kushiro,42,145,65.91,93.0,43.0,7.96,2130677,1627132729,JP
7,russas,-5,-38,87.44,36.0,10.0,11.86,3390160,1627132729,BR
8,villa maria,-32,-63,53.98,69.0,8.0,10.42,3840470,1627132730,AR
10,ingraj bazar,25,88,83.39,81.0,16.0,6.2,1269723,1627132730,IN
11,bayan,28,49,96.33,54.0,4.0,9.75,108142,1627132730,SA
12,malibu,34,-119,63.0,91.0,90.0,0.0,5369906,1627132692,US
13,hohhot,41,111,69.98,55.0,100.0,4.92,2035416,1627132731,CN
14,petrovskoye,57,39,63.28,48.0,100.0,5.41,509850,1627132731,RU
15,kalas,18,75,79.14,75.0,100.0,15.66,1268460,1627132731,IN
16,partyzany,46,35,77.25,46.0,0.0,4.94,708877,1627132732,UA
17,puerto cabezas,14,-82,81.75,83.0,100.0,18.72,3674272,1627132732,CO
18,saryshagan,46,73,93.34,19.0,0.0,14.43,1519563,1627132732,KZ
19,tieli,47,128,75.94,73.0,100.0,8.77,2034440,1627132732,CN
20,saint-medard-en-jalles,45,-1,75.85,57.0,16.0,13.09,3010626,1627132733,FR
21,gouyave,12,-62,84.25,82.0,100.0,13.96,3580449,1627132733,GD
22,suba,10,121,83.01,79.0,100.0,19.17,1721082,1627132733,PH
23,galdar,28,-16,82.71,88.0,11.0,31.79,6360190,1627132733,ES
24,cairns,-16,146,75.81,75.0,100.0,4.32,2207364,1627132734,AU
25,sidrolandia,-21,-55,80.01,31.0,0.0,11.23,3457415,1627132734,BR
26,bhasawar,27,77,96.03,51.0,100.0,2.39,1276092,1627132734,IN
27,bocaranga,7,16,76.24,84.0,99.0,1.79,2383650,1627132735,CF
29,vichuga,57,42,66.85,36.0,100.0,8.28,533555,1627132735,RU
30,nzerekore,8,-9,75.72,77.0,100.0,5.06,2416968,1627132735,GN
31,macau,-4,-36,77.79,79.0,56.0,23.44,3399179,1627132736,BR
32,kemijarvi,67,27,60.44,53.0,91.0,9.55,640440,1627132736,FI
33,homer,60,-154,44.4,99.0,100.0,3.53,5869635,1627132736,US
34,lazurne,45,32,74.37,57.0,0.0,13.42,461727,1627132736,UA
35,shubarshi,47,57,91.78,28.0,7.0,15.19,608281,1627132737,KZ
36,hikari,34,132,80.49,93.0,100.0,1.3,1896348,1627132737,JP
37,boysun,38,67,102.49,10.0,0.0,6.46,1217734,1627132737,UZ
38,klyuchi,57,161,59.43,84.0,100.0,3.2,2124440,1627132737,RU
39,kilkis,41,23,78.96,39.0,66.0,6.4,8133969,1627132738,GR
41,ust-kan,51,85,61.09,91.0,98.0,4.5,1488190,1627132738,RU
42,moyale,3,40,83.21,33.0,98.0,28.23,200017,1627132738,KE
43,matadi,-6,14,92.19,28.0,0.0,4.21,2239520,1627132739,AO
44,skagen,58,11,80.42,64.0,0.0,11.01,2668516,1627132739,SE
45,lake havasu city,34,-114,80.62,56.0,100.0,11.43,5289863,1627132739,US
46,aketi,3,24,82.29,64.0,100.0,1.68,220448,1627132739,CD
47,port townsend,48,-123,52.34,95.0,20.0,1.01,5809983,1627132740,US
48,akyab,19,93,83.91,83.0,60.0,16.51,1307641,1627132740,MM
49,sakakah,31,42,110.01,11.0,0.0,7.74,108512,1627132740,SA
50,key west,25,-83,83.37,73.0,76.0,7.0,4160812,1627132740,US
51,chukhloma,59,43,62.19,33.0,100.0,7.92,534468,1627132741,RU
52,kerikeri,-35,174,51.57,74.0,4.0,16.06,2189343,1627132741,NZ
54,wuan,37,114,74.93,85.0,3.0,4.85,1788927,1627132742,CN
55,rio branco,-10,-68,76.91,73.0,0.0,1.14,3731287,1627132742,BR
56,florianopolis,-28,-48,65.01,88.0,0.0,25.64,3455223,1627132742,BR
57,mildura,-33,144,48.34,80.0,77.0,21.7,2156785,1627132743,AU
59,safwah,27,49,109.08,12.0,0.0,16.58,392343,1627132743,SA
60,annau,38,59,108.64,8.0,0.0,11.5,162199,1627132745,TM
62,fairlie,-44,170,24.24,81.0,11.0,12.06,6209526,1627132745,NZ
63,jizan,17,42,95.05,78.0,46.0,8.63,106744,1627132746,SA
65,channel-port aux basques,48,-60,56.55,85.0,100.0,19.69,5924787,1627132746,CA
66,daia,44,26,85.8,31.0,99.0,8.28,679822,1627132746,RO
67,xunchang,28,105,75.99,90.0,100.0,2.68,1784790,1627132747,CN
70,kraskino,43,131,68.67,97.0,45.0,1.61,2038054,1627132748,CN
71,novo aripuana,-5,-61,84.58,61.0,79.0,2.62,3663142,1627132748,BR
72,novoilinsk,52,109,62.47,63.0,0.0,2.93,2017203,1627132748,RU
73,ibra,22,58,105.17,23.0,7.0,4.14,289415,1627132748,OM
74,fuyang,30,120,79.48,97.0,100.0,9.75,1813144,1627132749,CN
76,stolac,43,18,91.96,18.0,1.0,12.48,3196364,1627132749,BA
77,kondratovo,58,56,61.14,88.0,40.0,2.24,829032,1627132750,RU
78,birao,11,24,94.19,37.0,100.0,11.92,365618,1627132750,SD
79,winslow,36,-111,69.87,60.0,100.0,3.98,5305191,1627132750,US
80,baraki barak,34,69,89.8,12.0,94.0,5.95,1130497,1627132750,AF
82,varangaon,21,76,85.48,64.0,100.0,16.55,1253403,1627132751,IN
83,valdobbiadene,46,12,78.33,71.0,100.0,3.65,3174885,1627132751,IT
84,makushino,55,67,77.27,53.0,100.0,4.47,1543539,1627132751,RU
85,gaogou,34,119,76.35,92.0,100.0,7.78,1801590,1627132752,CN
86,rzhyshchiv,50,31,78.21,43.0,71.0,7.11,694992,1627132752,UA
88,loveland,39,-84,71.29,85.0,2.0,3.0,4528414,1627132752,US
89,la union,-40,-73,34.75,93.0,100.0,0.54,3877744,1627132753,CL
91,mergui,13,98,81.03,81.0,100.0,22.46,1309611,1627132753,MM
92,fryazino,56,38,68.76,43.0,100.0,5.86,545683,1627132753,RU
93,canutama,-7,-64,80.1,73.0,74.0,0.43,3664716,1627132753,BR
94,camargo,28,-104,76.12,52.0,16.0,3.89,4013724,1627132754,MX
95,oskarshamn,57,17,75.15,60.0,0.0,8.48,2703684,1627132754,SE
96,massa marittima,43,11,84.29,29.0,95.0,10.36,3169940,1627132754,IT
99,catamarca,-29,-66,61.56,32.0,0.0,5.23,3862771,1627132755,AR
100,sao borja,-29,-56,68.52,60.0,0.0,12.57,3449340,1627132755,BR
101,shaoyang,27,111,75.76,84.0,13.0,4.76,1928932,1627132756,CN
102,farafangana,-23,49,72.03,65.0,100.0,26.46,1065158,1627132756,MG
103,cockburn harbour,22,-73,82.47,80.0,8.0,16.93,3577004,1627132756,TC
104,rio brilhante,-22,-54,75.18,32.0,0.0,11.36,3451241,1627132757,BR
105,lanzhou,36,104,86.65,54.0,0.0,11.79,1804430,1627132757,CN
106,fasa,29,53,75.49,66.0,100.0,10.78,134766,1627132757,IR
107,sosnovo-ozerskoye,52,111,58.82,73.0,65.0,2.84,2019740,1627132757,RU
108,ginda,17,39,92.3,63.0,100.0,12.71,448502,1627132757,ER
111,banatski karlovac,45,21,84.6,26.0,3.0,6.64,792945,1627132758,RS
112,along,31,95,51.24,79.0,100.0,4.88,1281323,1627132759,CN
113,tabiauea,1,173,82.49,76.0,17.0,15.82,2110257,1627132759,KI
114,ca mau,8,105,83.91,79.0,100.0,15.86,1905678,1627132759,VN
115,san pedro de ycuamandiyu,-24,-57,77.43,32.0,0.0,8.63,3437021,1627132759,PY
116,comodoro rivadavia,-47,-69,37.24,58.0,100.0,4.41,3848353,1627132760,AR
117,khani,59,120,58.91,98.0,100.0,3.11,2023866,1627132760,RU
118,castro daire,41,-8,60.39,44.0,96.0,8.37,2736790,1627132760,PT
119,blagoveshchensk,55,56,75.72,33.0,8.0,6.87,576116,1627132760,RU
120,baghdad,32,44,113.59,11.0,0.0,9.64,98860,1627132761,IQ
121,mumbwa,-15,27,72.66,34.0,92.0,11.9,904422,1627132761,ZM
122,luocheng,29,104,73.96,94.0,0.0,0.87,1800268,1627132761,CN
123,hovorany,49,17,85.03,44.0,21.0,10.6,3066399,1627132761,CZ
124,clinton,42,-90,76.23,92.0,100.0,8.75,4887137,1627132762,US
127,roches noires,-20,58,74.52,69.0,12.0,14.61,1106642,1627132762,MU
128,conceicao da barra,-19,-39,74.01,59.0,100.0,14.61,3465769,1627132763,BR
130,jagtial,19,79,80.58,82.0,100.0,8.32,1269562,1627132763,IN
131,lamu,-3,42,77.43,78.0,6.0,25.28,189741,1627132764,KE
132,quesnel,53,-122,48.9,76.0,80.0,1.43,5928572,1627132764,CA
133,garowe,7,48,87.15,36.0,100.0,26.69,53707,1627132764,SO
134,solwezi,-12,26,78.15,27.0,96.0,10.6,897045,1627132764,ZM
135,changji,45,87,98.69,13.0,0.0,9.69,1529511,1627132765,CN
137,chara,57,118,48.15,92.0,100.0,7.07,2025630,1627132765,RU
138,zachagansk,50,52,86.63,21.0,0.0,8.72,609977,1627132765,KZ
139,nioro,17,-10,100.13,18.0,12.0,6.85,6914211,1627132766,MR
140,bandar-e lengeh,26,54,96.94,70.0,40.0,4.63,126914,1627132766,IR
141,vershino-darasunskiy,53,116,56.77,86.0,100.0,4.65,2026023,1627132766,RU
142,zemio,4,26,86.09,52.0,100.0,5.46,219563,1627132766,CD
143,copaceni,45,24,77.95,40.0,74.0,0.69,680929,1627132767,RO
144,sajoszoged,48,21,86.09,30.0,68.0,5.3,715941,1627132767,HU
146,champasak,14,106,72.57,99.0,100.0,2.68,1655192,1627132767,LA
147,chumikan,54,135,57.52,81.0,22.0,4.32,2014611,1627132768,RU
149,los alamos,36,-107,58.62,96.0,100.0,3.69,5490359,1627132768,US
150,kindu,-2,26,97.7,23.0,44.0,2.46,209610,1627132768,CD
151,acatlan,18,-98,56.53,68.0,1.0,4.41,3533440,1627132769,MX
152,rundu,-17,19,78.71,13.0,0.0,9.1,3347494,1627132769,AO
154,winnemucca,41,-119,74.28,18.0,2.0,5.32,5709906,1627132769,US
155,orlovskiy,47,42,85.21,28.0,26.0,6.89,501165,1627132770,RU
156,dali,27,99,49.91,97.0,100.0,0.6,1280031,1627132770,CN
157,jorpeland,59,6,70.47,87.0,83.0,7.11,3150742,1627132644,NO
159,higuey,19,-68,84.29,81.0,11.0,14.14,3494242,1627132770,DO
160,tiruvottiyur,13,81,83.91,84.0,9.0,19.64,1267433,1627132771,IN
161,bhainsa,19,78,81.23,74.0,100.0,10.65,1276249,1627132771,IN
162,shebunino,46,142,68.13,97.0,100.0,4.03,2121324,1627132771,RU
163,fraserburgh,58,-2,64.0,87.0,10.0,14.7,2639144,1627132771,GB
164,kyshtovka,58,77,83.08,59.0,51.0,5.73,1502962,1627132772,RU
165,yanchukan,57,113,63.23,71.0,55.0,2.68,2015399,1627132772,RU
166,vikyrovice,50,17,81.25,43.0,34.0,3.8,3067026,1627132772,CZ
168,khonuu,69,143,53.24,60.0,13.0,11.39,2028164,1627132773,RU
170,esna,25,31,97.48,16.0,0.0,12.82,360923,1627132773,EG
171,mitu,1,-69,70.66,99.0,100.0,1.21,3662952,1627132773,BR
172,sabinas,28,-101,75.81,79.0,0.0,7.4,4013688,1627132774,MX
173,ahlat,39,42,90.72,12.0,0.0,18.52,304041,1627132774,TR
174,vrangel,42,133,78.69,87.0,0.0,8.68,2013258,1627132774,RU
175,griffith,-31,145,55.99,53.0,100.0,22.19,2146616,1627132774,AU
176,roma,-28,145,56.19,44.0,5.0,15.95,2167148,1627132775,AU
177,nata,-20,26,74.23,27.0,0.0,11.03,933040,1627132775,BW
178,volchansk,60,60,61.14,83.0,82.0,9.08,1486984,1627132775,RU
179,san pedro,-24,-65,69.08,31.0,0.0,0.38,3855394,1627132775,AR
180,manalurpet,12,79,91.62,44.0,100.0,9.84,1263966,1627132776,IN
181,baiao,-3,-50,84.97,47.0,12.0,4.05,3406844,1627132776,BR
183,el triunfo,-2,-80,73.29,87.0,100.0,2.26,3658053,1627132776,EC
185,whitianga,-36,176,59.07,72.0,1.0,21.41,2192093,1627132777,NZ
186,aligarh,28,78,93.85,52.0,100.0,10.16,1279017,1627132777,IN
187,kodar,17,80,85.5,68.0,100.0,13.33,1266416,1627132777,IN
188,murgab,38,61,109.47,6.0,0.0,10.8,1218239,1627132778,TM
189,kandi,11,3,84.34,57.0,84.0,9.33,2393693,1627132778,BJ
190,leh,34,79,53.26,48.0,100.0,7.16,1280116,1627132778,CN
193,tolbazy,54,56,74.12,44.0,100.0,5.82,578853,1627132779,RU
194,petukhovo,55,68,77.52,65.0,100.0,5.93,1495022,1627132779,RU
195,solhan,39,41,88.0,14.0,0.0,18.03,300377,1627132780,TR
197,dvinskoy,63,46,46.44,92.0,100.0,3.29,474470,1627132780,RU
198,cabudare,10,-69,64.98,88.0,100.0,3.78,3647637,1627132780,VE
199,wuda,39,107,89.69,34.0,100.0,18.54,1794806,1627132781,CN
200,balaka,-15,35,68.63,53.0,100.0,10.2,931865,1627132781,MW
201,newark,43,-77,69.69,80.0,100.0,8.32,5131073,1627132781,US
203,hojai,26,93,83.57,81.0,20.0,3.13,1278253,1627132624,IN
204,aksarayskiy,47,48,86.25,27.0,100.0,13.04,580491,1627132782,RU
206,whitehorse,61,-135,38.5,83.0,50.0,5.55,6955561,1627132782,CA
207,linchuan,27,116,72.28,95.0,0.0,4.34,1789963,1627132782,CN
208,devonport,-40,147,50.79,80.0,100.0,34.96,7839668,1627132783,AU
209,tete,-16,33,73.29,40.0,94.0,12.71,1043298,1627132783,MZ
210,matay,28,31,95.49,18.0,0.0,13.8,362277,1627132783,EG
211,jeremie,19,-74,83.19,72.0,100.0,11.23,3723593,1627132783,HT
212,mogzon,52,112,56.89,75.0,100.0,3.47,2019884,1627132784,RU
214,pervomayskoye,58,87,78.01,57.0,5.0,4.07,1489822,1627132784,RU
215,addi ugri,15,39,73.94,47.0,100.0,16.98,338010,1627132785,ER
216,buciumi,47,23,78.15,51.0,100.0,2.86,683559,1627132785,RO
218,funtua,11,7,76.66,75.0,100.0,9.46,2347061,1627132785,NG
219,dalneye konstantinovo,56,44,61.56,52.0,72.0,5.48,6607350,1627132786,RU
220,manali,33,78,57.06,46.0,100.0,0.65,1269320,1627132786,IN
223,copperas cove,31,-98,77.25,86.0,40.0,9.22,4702998,1627132787,US
224,kilrush,53,-10,67.17,80.0,0.0,6.82,3315458,1627132787,IE
225,inndyr,67,14,53.65,91.0,100.0,8.14,3151056,1627132787,NO
226,florian,6,-74,72.18,91.0,100.0,1.45,3679776,1627132787,CO
227,glamoc,44,17,76.51,27.0,6.0,7.38,3200651,1627132788,BA
228,washougal,46,-122,46.2,78.0,0.0,4.25,5789244,1627132788,US
229,dubbo,-32,147,52.57,63.0,57.0,23.47,2146193,1627132788,AU
230,kangaba,12,-9,84.07,65.0,77.0,5.7,2455735,1627132788,ML
231,beian,48,127,70.68,96.0,100.0,12.35,2037069,1627132789,CN
232,busayra,31,36,84.7,27.0,0.0,13.22,248816,1627132789,JO
233,maxixe,-23,34,70.25,44.0,13.0,12.44,1045110,1627132789,MZ
235,begun,25,75,84.42,68.0,100.0,11.01,1276615,1627132445,IN
236,northam,-30,119,52.36,66.0,100.0,7.02,7839613,1627132790,AU
237,irtyshskiy,59,68,65.73,73.0,43.0,2.51,1487939,1627132790,RU
238,zhuhai,21,114,84.63,85.0,100.0,15.14,1818775,1627132790,HK
240,ouesso,2,16,92.5,36.0,57.0,3.11,2255564,1627132791,CG
241,jaque,7,-79,79.23,87.0,100.0,17.4,3708432,1627132791,PA
242,baneh,36,46,90.09,11.0,0.0,13.91,141584,1627132791,IR
243,point pleasant,40,-74,76.48,62.0,0.0,1.01,4501550,1627132698,US
244,tommot,60,127,58.32,98.0,100.0,9.31,2015179,1627132791,RU
245,armidale,-31,152,46.96,64.0,5.0,15.01,7839780,1627132792,AU
246,mincivan,39,47,83.55,45.0,83.0,12.88,147504,1627132792,AZ
247,saint-marc,19,-73,83.41,68.0,100.0,1.5,3731132,1627132792,HT
248,kalengwa,-13,25,83.66,21.0,6.0,9.95,900594,1627132792,ZM
250,kaiyuan,24,103,66.11,87.0,97.0,0.63,1807012,1627132793,CN
252,tezu,32,98,51.73,78.0,100.0,7.34,1281189,1627132793,CN
253,sinkat,20,35,107.35,12.0,100.0,12.24,408646,1627132794,SD
254,conway,34,-79,77.99,76.0,0.0,3.0,4582287,1627132499,US
256,las choapas,18,-94,78.82,87.0,69.0,1.92,3524903,1627132794,MX
257,ternate,1,128,72.86,88.0,100.0,5.95,1624041,1627132794,ID
258,tooele,40,-113,73.94,43.0,10.0,4.76,5783699,1627132795,US
259,san felipe,30,-115,71.69,51.0,100.0,7.7,4017700,1627132795,MX
261,warqla,31,4,104.56,10.0,0.0,10.83,2496045,1627132795,DZ
262,la rioja,-30,-68,46.53,44.0,0.0,1.9,3848949,1627132796,AR
263,koutsouras,35,26,79.75,51.0,0.0,39.77,7668056,1627132796,GR
264,neyshabur,35,59,102.54,8.0,0.0,20.94,123256,1627132796,IR
265,bolshiye klyuchishchi,54,48,68.76,42.0,80.0,13.04,479119,1627132615,RU
266,baker city,45,-118,45.66,33.0,0.0,4.52,5758113,1627132796,US
268,catalao,-18,-48,69.13,42.0,0.0,14.88,3466696,1627132797,BR
269,young,-32,-57,65.39,60.0,50.0,5.23,3441242,1627132797,UY
270,fuxin,43,121,76.77,78.0,100.0,5.03,2037844,1627132797,CN
271,diamantino,-13,-56,80.98,35.0,3.0,10.45,3457419,1627132798,BR
272,rusape,-19,32,68.36,29.0,0.0,10.67,892156,1627132798,ZW
273,colquechaca,-19,-66,46.89,33.0,4.0,4.21,3919720,1627132798,BO
274,qitaihe,46,131,76.12,65.0,4.0,4.12,2035261,1627132798,CN
275,hattiesburg,31,-89,80.69,82.0,6.0,5.06,4451140,1627132799,US
276,barkhan,30,70,86.02,30.0,11.0,7.11,1168579,1627132799,PK
277,muravlenko,64,73,59.43,78.0,100.0,5.75,1540711,1627132799,RU
278,ewo,-1,15,96.15,27.0,49.0,3.42,2260494,1627132799,CG
279,jagdalpur,19,82,76.55,80.0,100.0,5.99,1269578,1627132800,IN
280,alexandria,31,29,79.95,71.0,0.0,21.05,361612,1627132800,EG
282,changli,39,119,79.95,81.0,34.0,9.37,1815656,1627132800,CN
284,tres picos,15,-94,85.71,69.0,100.0,11.7,3515120,1627132801,MX
285,altay,48,88,65.23,44.0,4.0,7.45,1529651,1627132801,CN
286,shaoguan,25,113,69.62,86.0,0.0,0.34,1917433,1627132802,CN
287,wisconsin rapids,44,-90,73.0,99.0,100.0,3.24,5253884,1627132802,US
289,bardiyah,32,26,80.13,67.0,0.0,20.13,80509,1627132802,LY
290,sehithwa,-21,23,70.07,26.0,0.0,12.15,933109,1627132803,BW
292,boras,58,13,79.75,33.0,14.0,5.03,3337386,1627132803,SE
293,faridan,33,51,97.32,10.0,82.0,14.97,418606,1627132804,IR
295,kearney,41,-99,70.81,50.0,100.0,6.73,5076020,1627132809,US
297,rapar,24,71,87.91,76.0,14.0,15.9,1258406,1627132809,IN
298,berezovyy,52,135,61.81,74.0,93.0,6.02,2026786,1627132810,RU
299,tolaga bay,-39,179,54.21,66.0,100.0,14.03,2190766,1627132810,NZ
301,mukhen,48,136,79.56,68.0,94.0,4.34,2019718,1627132810,RU
302,ondjiva,-16,16,81.63,7.0,0.0,8.43,3349096,1627132811,AO
303,buffalo,45,-94,71.78,85.0,33.0,5.01,5053185,1627132223,US
304,tongliao,43,122,79.95,68.0,100.0,17.49,2036628,1627132811,CN
305,rabaul,-4,152,83.37,75.0,67.0,8.57,2087894,1627132811,PG
306,daru,-13,142,71.55,85.0,7.0,2.19,2144209,1627132812,AU
307,bydgoszcz,53,18,76.89,47.0,0.0,4.61,3090673,1627132812,PL
308,bontang,0,118,83.01,79.0,100.0,20.07,1648186,1627132812,ID
309,stepnogorsk,52,72,89.53,23.0,70.0,2.93,1516527,1627132812,KZ
310,verkhnya syrovatka,51,35,75.2,54.0,59.0,7.11,692194,1627132813,UA
311,bani walid,32,14,94.01,19.0,0.0,8.81,2218840,1627132813,LY
313,bombay,-37,175,52.99,89.0,12.0,4.61,6231571,1627132814,NZ
